time 	 clk 	 step 	 eps 	 q
665	 0 	 01000010 	 00111110000000000001000100000001 	 1000100101001011001000000000000000000000000000000000000000000000
670	 1 	 01000011 	 00010100011000000100000001000001 	 1001100100000001011000000000000000000000000000000000000000000000
675	 0 	 01000011 	 00010100011000000100000001000001 	 1001100100000001011000000000000000000000000000000000000000000000
680	 1 	 01000100 	 00010100011000000100000001000001 	 0110001101011100001000000000000000000000000000000000000000000000
685	 0 	 01000100 	 00010100011000000100000001000001 	 0110001101011100001000000000000000000000000000000000000000000000
690	 1 	 01000101 	 01110111000000010001000100010000 	 0000100100011100011000000000000000000000000000000000000000000000
695	 0 	 01000101 	 01110111000000010001000100010000 	 0000100100011100011000000000000000000000000000000000000000000000
700	 1 	 01000110 	 01110111000000010001000100010000 	 1110011001011110110000000000000000000000000000000000000000000000
705	 0 	 01000110 	 01110111000000010001000100010000 	 1110011001011110110000000000000000000000000000000000000000000000
710	 1 	 01000111 	 11011101101111000000000000000101 	 0011110101101001100000000000000000000000000000000000000000000000
715	 0 	 01000111 	 11011101101111000000000000000101 	 0011110101101001100000000000000000000000000000000000000000000000
720	 1 	 01001000 	 11011101101111000000000000000101 	 1010110111100010100000000000000000000000000000000000000000000000
725	 0 	 01001000 	 11011101101111000000000000000101 	 1010110111100010100000000000000000000000000000000000000000000000
730	 1 	 01001001 	 00100010011111110000000000010001 	 1100000100110001100000000000000000000000000000000000000000000000
735	 0 	 01001001 	 00100010011111110000000000010001 	 1100000100110001100000000000000000000000000000000000000000000000
740	 1 	 01001010 	 00100010011111110000000000010001 	 1101011010101100100000000000000000000000000000000000000000000000
745	 0 	 01001010 	 00100010011111110000000000010001 	 1101011010101100100000000000000000000000000000000000000000000000
750	 1 	 01001011 	 10100010111110111100000001000111 	 0110111011001101100000000000000000000000000000000000000000000000
755	 0 	 01001011 	 10100010111110111100000001000111 	 0110111011001101100000000000000000000000000000000000000000000000
760	 1 	 01001100 	 10100010111110111100000001000111 	 0011100010011001100000000000000000000000000000000000000000000000
765	 0 	 01001100 	 10100010111110111100000001000111 	 0011100010011001100000000000000000000000000000000000000000000000
770	 1 	 01001101 	 00111111001010011111000100001100 	 1100001111000101100000000000000000000000000000000000000000000000
775	 0 	 01001101 	 00111111001010011111000100001100 	 1100001111000101100000000000000000000000000000000000000000000000
780	 1 	 01001110 	 00111111001010011111000100001100 	 0010001001001101000000000000000000000000000000000000000000000000
785	 0 	 01001110 	 00111111001010011111000100001100 	 0010001001001101000000000000000000000000000000000000000000000000
790	 1 	 01001111 	 00010000100011011011100001110111 	 0101110100110110000000000000000000000000000000000000000000000000
795	 0 	 01001111 	 00010000100011011011100001110111 	 0101110100110110000000000000000000000000000000000000000000000000
800	 1 	 01010000 	 00010000100011011011100001110111 	 1101111010000110000000000000000000000000000000000000000000000000
805	 0 	 01010000 	 00010000100011011011100001110111 	 1101111010000110000000000000000000000000000000000000000000000000
810	 1 	 01010001 	 10101101100011011000111111000110 	 0111110101010110000000000000000000000000000000000000000000000000
815	 0 	 01010001 	 10101101100011011000111111000110 	 0111110101010110000000000000000000000000000000000000000000000000
820	 1 	 01010010 	 10101101100011011000111111000110 	 1111010100110000000000000000000000000000000000000000000000000000
825	 0 	 01010010 	 10101101100011011000111111000110 	 1111010100110000000000000000000000000000000000000000000000000000
830	 1 	 01010011 	 00010101001011010101110011101011 	 0101110110000000000000000000000000000000000000000000000000000000
835	 0 	 01010011 	 00010101001011010101110011101011 	 0101110110000000000000000000000000000000000000000000000000000000
840	 1 	 01010100 	 00010101001011010101110011101011 	 1000111110000000000000000000000000000000000000000000000000000000
845	 0 	 01010100 	 00010101001011010101110011101011 	 1000111110000000000000000000000000000000000000000000000000000000
850	 1 	 01010101 	 01101110000111100010010010010001 	 1101100110000000000000000000000000000000000000000000000000000000
855	 0 	 01010101 	 01101110000111100010010010010001 	 1101100110000000000000000000000000000000000000000000000000000000
860	 1 	 01010110 	 01101110000111100010010010010001 	 1110010010000000000000000000000000000000000000000000000000000000
865	 0 	 01010110 	 01101110000111100010010010010001 	 1110010010000000000000000000000000000000000000000000000000000000
870	 1 	 01010111 	 10010100011001110001101101100111 	 0011010110000000000000000000000000000000000000000000000000000000
875	 0 	 01010111 	 10010100011001110001101101100111 	 0011010110000000000000000000000000000000000000000000000000000000
880	 1 	 01011000 	 10010100011001110001101101100111 	 0111000110000000000000000000000000000000000000000000000000000000
885	 0 	 01011000 	 10010100011001110001101101100111 	 0111000110000000000000000000000000000000000000000000000000000000
890	 1 	 01011001 	 10101000111111011010101101000100 	 0000110110000000000000000000000000000000000000000000000000000000
895	 0 	 01011001 	 10101000111111011010101101000100 	 0000110110000000000000000000000000000000000000000000000000000000
900	 1 	 01011010 	 10101000111111011010101101000100 	 0011000100000000000000000000000000000000000000000000000000000000
905	 0 	 01011010 	 10101000111111011010101101000100 	 0011000100000000000000000000000000000000000000000000000000000000
910	 1 	 01011011 	 01101010001010011100011111000101 	 0110011000000000000000000000000000000000000000000000000000000000
915	 0 	 01011011 	 01101010001010011100011111000101 	 0110011000000000000000000000000000000000000000000000000000000000
920	 1 	 01011100 	 01101010001010011100011111000101 	 0100101000000000000000000000000000000000000000000000000000000000
925	 0 	 01011100 	 01101010001010011100011111000101 	 0100101000000000000000000000000000000000000000000000000000000000
930	 1 	 01011101 	 10001101101101010110111011100000 	 1000011000000000000000000000000000000000000000000000000000000000
935	 0 	 01011101 	 10001101101101010110111011100000 	 1000011000000000000000000000000000000000000000000000000000000000
940	 1 	 01011110 	 10001101101101010110111011100000 	 0100110000000000000000000000000000000000000000000000000000000000
945	 0 	 01011110 	 10001101101101010110111011100000 	 0100110000000000000000000000000000000000000000000000000000000000
950	 1 	 01011111 	 11011101110000001110000000111001 	 0001100000000000000000000000000000000000000000000000000000000000
955	 0 	 01011111 	 11011101110000001110000000111001 	 0001100000000000000000000000000000000000000000000000000000000000
960	 1 	 01100000 	 11011101110000001110000000111001 	 1000100000000000000000000000000000000000000000000000000000000000
965	 0 	 01100000 	 11011101110000001110000000111001 	 1000100000000000000000000000000000000000000000000000000000000000
970	 1 	 01100001 	 11100011100100111011100011101111 	 0101100000000000000000000000000000000000000000000000000000000000
975	 0 	 01100001 	 11100011100100111011100011101111 	 0101100000000000000000000000000000000000000000000000000000000000
980	 1 	 01100010 	 11100011100100111011100011101111 	 1101100000000000000000000000000000000000000000000000000000000000
985	 0 	 01100010 	 11100011100100111011100011101111 	 1101100000000000000000000000000000000000000000000000000000000000
990	 1 	 01100011 	 01010101001100100000110110000011 	 0101100000000000000000000000000000000000000000000000000000000000
995	 0 	 01100011 	 01010101001100100000110110000011 	 0101100000000000000000000000000000000000000000000000000000000000
1000	 1 	 01100100 	 01010101001100100000110110000011 	 1011100000000000000000000000000000000000000000000000000000000000
1005	 0 	 01100100 	 01010101001100100000110110000011 	 1011100000000000000000000000000000000000000000000000000000000000
1010	 1 	 01100101 	 11011101111111001011010101101100 	 1001100000000000000000000000000000000000000000000000000000000000
1015	 0 	 01100101 	 11011101111111001011010101101100 	 1001100000000000000000000000000000000000000000000000000000000000
1020	 1 	 01100110 	 11011101111111001011010101101100 	 0101000000000000000000000000000000000000000000000000000000000000
1025	 0 	 01100110 	 11011101111111001011010101101100 	 0101000000000000000000000000000000000000000000000000000000000000
1030	 1 	 01100111 	 11100011011011011111100011101111 	 0110000000000000000000000000000000000000000000000000000000000000
1035	 0 	 01100111 	 11100011011011011111100011101111 	 0110000000000000000000000000000000000000000000000000000000000000
1040	 1 	 01101000 	 11100011011011011111100011101111 	 0110000000000000000000000000000000000000000000000000000000000000
1045	 0 	 01101000 	 11100011011011011111100011101111 	 0110000000000000000000000000000000000000000000000000000000000000
1050	 1 	 01101001 	 10010110111101001001110110000000 	 0110000000000000000000000000000000000000000000000000000000000000
1055	 0 	 01101001 	 10010110111101001001110110000000 	 0110000000000000000000000000000000000000000000000000000000000000
1060	 1 	 01101010 	 10010110111101001001110110000000 	 1100000000000000000000000000000000000000000000000000000000000000
1065	 0 	 01101010 	 10010110111101001001110110000000 	 1100000000000000000000000000000000000000000000000000000000000000
1070	 1 	 01101011 	 01100010000101110101000101100001 	 1000000000000000000000000000000000000000000000000000000000000000
1075	 0 	 01101011 	 01100010000101110101000101100001 	 1000000000000000000000000000000000000000000000000000000000000000
1080	 1 	 01101100 	 01100010000101110101000101100001 	 1000000000000000000000000000000000000000000000000000000000000000
1085	 0 	 01101100 	 01100010000101110101000101100001 	 1000000000000000000000000000000000000000000000000000000000000000
1090	 1 	 01101101 	 01101111001110001001000111011010 	 1000000000000000000000000000000000000000000000000000000000000000
1095	 0 	 01101101 	 01101111001110001001000111011010 	 1000000000000000000000000000000000000000000000000000000000000000
1100	 1 	 01101110 	 01101111001110001001000111011010 	 0000000000000000000000000000000000000000000000000000000000000000
1105	 0 	 01101110 	 01101111001110001001000111011010 	 0000000000000000000000000000000000000000000000000000000000000000
1110	 1 	 01101111 	 00010000101101000110001100011000 	 0000000000000000000000000000000000000000000000000000000000000000
1115	 0 	 01101111 	 00010000101101000110001100011000 	 0000000000000000000000000000000000000000000000000000000000000000
1120	 1 	 01110000 	 00010000101101000110001100011000 	 0000000000000000000000000000000000000000000000000000000000000000
1125	 0 	 01110000 	 00010000101101000110001100011000 	 0000000000000000000000000000000000000000000000000000000000000000
1130	 1 	 01110001 	 01010010100001001001010010100111 	 0000000000000000000000000000000000000000000000000000000000000000
1135	 0 	 01110001 	 01010010100001001001010010100111 	 0000000000000000000000000000000000000000000000000000000000000000
1140	 1 	 01110010 	 01010010100001001001010010100111 	 0000000000000000000000000000000000000000000000000000000000000000
1145	 0 	 01110010 	 01010010100001001001010010100111 	 0000000000000000000000000000000000000000000000000000000000000000
1150	 1 	 01110011 	 00101001010100110111011110110011 	 0000000000000000000000000000000000000000000000000000000000000000
1155	 0 	 01110011 	 00101001010100110111011110110011 	 0000000000000000000000000000000000000000000000000000000000000000
1160	 1 	 01110100 	 00101001010100110111011110110011 	 0000000000000000000000000000000000000000000000000000000000000000
1165	 0 	 01110100 	 00101001010100110111011110110011 	 0000000000000000000000000000000000000000000000000000000000000000
1170	 1 	 01110101 	 00010000100000010000001100100101 	 0000000000000000000000000000000000000000000000000000000000000000
1175	 0 	 01110101 	 00010000100000010000001100100101 	 0000000000000000000000000000000000000000000000000000000000000000
1180	 1 	 01110110 	 00010000100000010000001100100101 	 0000000000000000000000000000000000000000000000000000000000000000
1185	 0 	 01110110 	 00010000100000010000001100100101 	 0000000000000000000000000000000000000000000000000000000000000000
1190	 1 	 01110111 	 10010010010111000100110001011101 	 0000000000000000000000000000000000000000000000000000000000000000
1195	 0 	 01110111 	 10010010010111000100110001011101 	 0000000000000000000000000000000000000000000000000000000000000000
1200	 1 	 01111000 	 10010010010111000100110001011101 	 0000000000000000000000000000000000000000000000000000000000000000
1205	 0 	 01111000 	 10010010010111000100110001011101 	 0000000000000000000000000000000000000000000000000000000000000000
1210	 1 	 01111001 	 11011010000001100010001001100111 	 0000000000000000000000000000000000000000000000000000000000000000
1215	 0 	 01111001 	 11011010000001100010001001100111 	 0000000000000000000000000000000000000000000000000000000000000000
1220	 1 	 01111010 	 11011010000001100010001001100111 	 0000000000000000000000000000000000000000000000000000000000000000
